ratio,spacing_mm,imposed,truth,held_rd,held_rl,side_branches,recovered,sd,se,mean_low,mean_high,n_repeats,fit_ci_low,fit_ci_high,r2,bias,bias_low,bias_high,order_min,order_max,n_orders,orders_expected,reliable,dropped_for
R_d,1.19/0.80/1.31,1.3,1.2995904244553103,1.3,1.49,0,1.31231,0.050833725681545955,0.01607503551058804,1.2885419999698529,1.3358400520915705,10,1.2558199999999997,1.37273,0.9923300000000002,0.00969582519098854,-0.008501466521722158,0.027893116903699236,1,5,5,5,True,
R_d,1.19/0.80/1.31,1.45,1.4495431657386153,1.45,1.49,0,1.44663,0.04948676703029927,0.015649089785387246,1.4277781247102657,1.4652635167111612,10,1.36532,1.53528,0.9917999999999999,-0.0020850327878037533,-0.015015103753229274,0.010845038177621768,1,5,5,5,True,
R_d,1.19/0.80/1.31,1.56,1.5595085093463723,1.56,1.49,0,1.56264,0.04061015745954314,0.012842059371023354,1.5567259832425997,1.5685978597479397,10,1.49833,1.63021,0.99688,0.002022055109028531,-0.001784232716331261,0.005828342934388323,1,5,5,5,True,
R_d,1.19/0.80/1.31,1.7,1.6994644012107902,1.7,1.49,0,1.7078099999999998,0.04812002239770421,0.015216887183506207,1.7038193775832953,1.711635188988252,10,1.64222,1.7765700000000002,0.9981200000000001,0.00486205069614668,0.0025625581620905722,0.007161543230202788,1,5,5,5,True,
R_d,1.19/0.80/1.31,1.85,1.849417142494095,1.85,1.49,0,1.85213,0.052482484908988644,0.016596418957781887,1.8467836672911568,1.8573001225990928,10,1.7791299999999999,1.9284,0.99863,0.0014192322492967535,-0.001423948736295755,0.004262413234889262,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.05,1.0444613545332824,1.56,1.05,0,1.0652533333333334,0.12317922947767065,0.022489347533675173,1.0185885466826128,1.1127775792707433,30,0.9563266666666667,1.25965,0.5508066666666666,0.02031832805616677,-0.024771436241631847,0.06540809235396539,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.15,1.143933864488833,1.56,1.15,0,1.2034699999999998,0.21421771257137062,0.0391106244641659,1.1225075489925318,1.286464877090185,30,1.0054766666666666,1.62755,0.8213266666666666,0.05293343473102203,-0.018730379580008,0.12459724904205205,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.3,1.2931426294221593,1.56,1.3,0,1.3036666666666668,0.06252379592979992,0.01141523113720037,1.2868746824045127,1.3200271740721727,30,1.1743499999999998,1.4759900000000001,0.9317833333333334,0.00797150954708656,-0.0048470654938097164,0.020790084587982836,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.49,1.4821403983377053,1.56,1.49,0,1.5094200000000002,0.06636897073077198,0.012117260795881315,1.4950891388516625,1.5228469284357427,30,1.3692966666666666,1.6705866666666662,0.9679800000000001,0.018100603246551984,0.008736514117339887,0.02746469237576408,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.65,1.6412964142665862,1.56,1.65,0,1.7995999999999996,0.3036838181057897,0.0554448258419456,1.6881323877717536,1.9095944566650906,30,1.4600700000000002,2.3603133333333326,0.9690599999999999,0.0960015549794793,0.0285359628511076,0.163467147107851,1,5,5,5,True,
R_l,1.19/0.80/1.31,1.8,1.7905051791999123,1.56,1.8,0,1.7995533333333331,0.18775871297718935,0.03427989415524819,1.7320660541101418,1.8655264216485656,30,1.3414633333333335,2.6002633333333334,0.9368566666666667,0.004630569503935315,-0.03263834462399262,0.04189948363186326,1,4,4,5,True,
R_b,1.19/0.80/1.31,2.0000000000000004,2.0000000000000004,1.56,1.49,0,1.9981633333333335,0.009470297789926401,0.001729031908611337,1.994627066021648,2.0016996006450185,30,1.9842666666666666,2.0129133333333336,0.9997199999999999,-0.0009183333333335541,-0.002686466989176149,0.0008498003225090408,1,5,5,5,True,
R_b,1.19/0.80/1.31,2.3458202157571426,2.3458202157571426,1.56,1.49,1,2.34247,0.12506053747878565,0.02283282581028372,2.2957716278391556,2.3891683721608454,30,1.7766333333333333,3.1848899999999998,0.9595433333333332,-0.0014281639038824327,-0.02133521894892239,0.018478891141157524,1,5,5,5,True,
R_b,1.19/0.80/1.31,2.624215727565684,2.624215727565684,1.56,1.49,2,2.5659566666666667,0.1978350892542318,0.036119580350196884,2.49208383027305,2.6398295030602834,30,2.0964566666666666,3.221996666666666,0.9849933333333334,-0.02220056083310673,-0.0503510042656456,0.005949882599432139,1,5,5,5,True,
R_b,1.19/0.80/1.31,2.8646130562189547,2.8646130562189547,1.56,1.49,3,2.7035333333333336,0.19902171486675957,0.03633622755529516,2.629217403653965,2.777849263012703,30,1.9842666666666664,3.774713333333333,0.9647100000000001,-0.05623088344721574,-0.08217362971726855,-0.030288137177162933,1,5,5,5,True,
